file;prompt_tokens;completion_tokens;prefill_ms;prefill_tok_s;decode_ms;decode_tok_s;wall_ms
ctx_001_000256.txt;255;128;2222.836;114.71831480145185;4432.16;28.87982383307462;7087.9364013671875
ctx_002_000512.txt;504;128;2350.588;214.41443587732087;4263.385;30.02309197972972;7032.999753952026
ctx_003_001024.txt;1017;128;3767.12;269.96750833528;4333.644;29.53634400979868;8762.97903060913
ctx_004_002048.txt;2044;128;7522.502;271.7181065555051;4360.028;29.3576096300299;12383.6350440979
ctx_005_004096.txt;4076;128;14415.167;282.75773704182546;4555.986;28.09490634958053;19847.668409347534
ctx_006_006144.txt;6142;128;22443.934;273.65968907233463;4541.576;28.18404888523279;27971.684217453003
ctx_007_008192.txt;8164;128;31415.384;259.8726789397195;4633.699;27.62371919280903;37428.06935310364
ctx_008_012288.txt;12280;128;52352.16;234.5652977833197;4830.225;26.49980073392026;58909.38973426819
ctx_009_016384.txt;16373;128;76215.043;214.8263565238689;5022.063;25.48753370875674;83393.71800422668
ctx_010_024576.txt;24560;128;134455.89;182.6621355152236;5382.148;23.78232631284015;143040.77339172363
ctx_011_032768.txt;32761;128;207130.376;158.16608183050855;5825.578;21.972068694299516;216691.24174118042
ctx_012_065536.txt;64423;59;614203.161;104.8887470639377;3252.956;18.137349536852017;622990.8699989319
